game_state_id;game_id;time_elapsed;score;lives;pacman_attack;Pacman_X;Pacman_Y;Ghost1_X;Ghost1_Y;Ghost2_X;Ghost2_Y;Ghost3_X;Ghost3_Y;Ghost4_X;Ghost4_Y;ghost1_state;ghost2_state;ghost3_state;ghost4_state;powerPellets;pellets;powerpelletstate_1;powerpelletstate_2;powerpelletstate_3;powerpelletstate_4
391;4;6.800776481628418;190;3;0;-12.495001792908;-6.5049991607666;-10.908411979675;5.5000715255737;-2;-1.0221532583237;10.753008842468;-0.49929615855217;2;-1.0221532583237;1;0;1;0;4;225;0;0;0;0
392;4;6.898306846618652;190;3;0;-12.495001792908;-6.5049991607666;-10.208410263062;5.5005040168762;-2;-1.5178467035294;10.053007125854;-0.49942854046822;2;-1.5178467035294;1;0;1;0;4;225;0;0;0;0
393;4;6.997969627380371;190;3;0;-12.495001792908;-6.5049991607666;-9.5349836349487;5.4996356964111;-2;-0.81784677505493;9.3798933029175;-0.49854490160942;2;-0.81784677505493;2;0;1;0;4;225;0;0;0;0
394;4;7.100113868713379;190;3;0;-12.495001792908;-6.5049991607666;-8.8198757171631;5.4972681999207;-2;-0.11784683167934;8.7190074920654;-0.50040054321289;2;-0.11784683167934;2;0;1;0;4;225;0;0;0;0
395;4;7.198817253112793;190;3;0;-12.495001792908;-6.5049991607666;-8.1198740005493;5.5002021789551;-2;0.58215314149857;8.0190057754517;-0.49954706430435;2;0.58215314149857;2;0;1;0;4;225;0;0;0;0
396;4;7.298954963684082;190;3;0;-12.495001792908;-6.5049991607666;-7.5598745346069;5.3603296279907;-2;-0.042153283953667;7.5990061759949;-0.21951012313366;2;-0.042153283953667;2;0;1;0;4;225;0;0;0;0
397;4;7.398980140686035;190;3;0;-12.495001792908;-6.5049991607666;-7.4995064735413;4.6911816596985;-2;-0.74215322732925;7.498104095459;0.42793488502502;2;-0.74215322732925;2;0;1;0;4;225;0;0;0;0
398;4;7.498181343078613;190;3;0;-12.495001792908;-6.5049991607666;-7.4994506835938;3.9911820888519;-2;-1.4421532154083;7.4999628067017;1.1257326602936;2;-1.4421532154083;2;0;1;0;4;225;0;0;0;0
399;4;7.597979545593262;190;3;0;-12.495001792908;-6.5049991607666;-7.4994621276855;3.2911622524261;-2;-1.0978467464447;7.5004920959473;1.825732588768;2;-1.0978467464447;2;0;1;0;4;225;0;0;0;0
400;4;7.711186408996582;190;3;0;-12.495001792908;-6.5049991607666;-7.4994149208069;2.5929048061371;-2;-0.39784681797028;7.5006303787231;2.5096991062164;2;-0.39784681797028;2;0;1;0;4;225;0;0;0;0
401;4;7.799008369445801;190;3;0;-12.495001792908;-6.5049991607666;-7.499162197113;1.9077764749527;-2;0.3021531701088;7.4984197616577;3.1637208461761;2;0.3021531701088;2;0;1;0;4;225;0;0;0;0
402;4;7.899172782897949;190;3;0;-12.495001792908;-6.5049991607666;-7.4994144439697;1.2077765464783;-2;0.23784671723843;7.5003261566162;3.863721370697;2;0.23784671723843;2;0;1;0;4;225;0;0;0;0
403;4;7.998908042907715;190;3;0;-12.495001792908;-6.5049991607666;-7.5003213882446;0.54964351654053;-2;-0.46215325593948;7.5004138946533;4.5672779083252;2;-0.46215325593948;2;1;1;0;4;225;0;0;0;0
404;4;8.098156929016113;190;3;0;-12.495001792908;-6.5049991607666;-7.5017619132996;-0.15856656432152;-1.6037707328796;-0.46965125203133;7.5022296905518;5.2665157318115;2;-1.1621532440186;2;1;1;0;4;225;0;0;0;0
405;4;8.199767112731934;190;3;0;-12.495001792908;-6.5049991607666;-7.5017619132996;-0.85856652259827;-1.1972255706787;-0.47734445333481;8.0132942199707;5.5173940658569;2;-1.3778467178345;2;1;1;0;4;225;0;0;0;0
406;4;8.29828929901123;190;3;0;-12.495001792908;-6.5049991607666;-7.4997615814209;-1.5585241317749;-0.80304276943207;-0.48480373620987;8.7132959365845;5.5011901855469;2;-0.67784678936005;2;1;1;0;4;225;0;0;0;0
407;4;8.400101661682129;190;3;0;-12.495001792908;-6.5049991607666;-7.4993143081665;-2.2518773078918;-0.39553415775299;-0.49251514673233;9.4126539230347;5.500617980957;2;0.022153168916702;2;1;1;0;4;225;0;0;0;0
408;4;8.499587059020996;190;3;0;-12.495001792908;-6.5049991607666;-7.4994301795959;-2.9518778324127;0;-0.5;10.102140426636;5.5008068084717;2;0.51784670352936;2;1;1;0;4;225;0;0;0;0
409;4;8.59921932220459;190;3;0;-12.495001792908;-6.5049991607666;-7.4983253479004;-3.6264774799347;0;-0.5;10.80214214325;5.5005822181702;2;-0.18215328454971;2;1;1;0;4;225;0;0;0;0
410;4;8.698119163513184;190;3;0;-12.495001792908;-6.5049991607666;-7.4909639358521;-4.230297088623;0;-0.5;11.471830368042;5.5021691322327;2;-0.88215321302414;2;1;1;0;4;225;0;0;0;0
411;4;8.797974586486816;190;3;0;-12.495001792908;-6.5049991607666;-7.4990544319153;-4.930296421051;0;-0.5;12.184436798096;5.4979476928711;2;-1.5821532011032;2;1;1;0;4;225;0;0;0;0
412;4;8.898938179016113;190;3;0;-12.495001792908;-6.5049991607666;-7.5001711845398;-5.6011748313904;0;-0.5;12.464437484741;5.9204859733582;2;-0.95784676074982;2;1;1;0;4;225;0;0;0;0
413;4;8.998381614685059;190;3;0;-12.495001792908;-6.5049991607666;-7.5052480697632;-6.3136286735535;0;-0.5;12.501130104065;6.6137146949768;2;-0.25784683227539;2;1;2;0;4;225;0;0;0;0
414;4;9.099385261535645;190;3;0;-12.495001792908;-6.5049991607666;-8.0335931777954;-6.4802117347717;0;-0.20323552191257;12.500617980957;7.3137140274048;2;0.44215315580368;2;1;2;0;4;225;0;0;0;0
415;4;9.200085639953613;190;3;0;-12.495001792908;-6.5049991607666;-8.7335948944092;-6.4999384880066;0;0.095926314592361;12.500561714172;8.0137138366699;2;0.09784671664238;2;1;2;0;4;225;0;0;0;0
416;4;9.299078941345215;190;3;0;-12.495001792908;-6.5049991607666;-9.4336090087891;-6.4996871948242;0;0.39378741383553;12.217999458313;8.4337253570557;2;-0.60215324163437;2;1;2;0;4;225;0;0;0;0
417;4;9.398045539855957;190;3;0;-12.495001792908;-6.5049991607666;-10.133025169373;-6.4994168281555;0;0.69201499223709;11.55052280426;8.touko;2;-1.3021532297134;2;1;2;0;4;225;0;0;0;0
